ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1
24890,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,116500,,,,360,not_neg,not_int,not_lpsm,118000,sb,pr,home,1U,1740,EXP,758,CIB,25-34,to_inst,98.72881356,south,direct,1,45
24891,2019,cf,Male,nopre,type2,p1,l1,nopc,b/c,206500,,,,360,not_neg,not_int,lpsm,,sb,pr,home,1U,4980,EQUI,552,EXP,55-64,to_inst,,North,direct,1,
24892,2019,cf,Male,pre,type1,p1,l1,nopc,nob/c,406500,4.56,0.2,595,360,neg_amm,not_int,not_lpsm,508000,sb,pr,home,1U,9480,EXP,834,CIB,35-44,to_inst,80.01968504,south,direct,0,46
24893,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,456500,4.25,0.681,,360,not_neg,not_int,not_lpsm,658000,sb,pr,home,1U,11880,EXP,587,CIB,45-54,not_inst,69.3768997,North,direct,0,42
24894,2019,cf,Joint,pre,type1,p1,l1,nopc,nob/c,696500,4,0.3042,0,360,not_neg,not_int,not_lpsm,758000,sb,pr,home,1U,10440,CRIF,602,EXP,25-34,not_inst,91.88654354,North,direct,0,39
24895,2019,cf,Joint,pre,type1,p1,l1,nopc,nob/c,706500,3.99,0.1523,370,360,not_neg,not_int,not_lpsm,1008000,sb,pr,home,1U,10080,EXP,864,EXP,35-44,not_inst,70.08928571,North,direct,0,40
24896,2019,cf,Joint,pre,type1,p3,l1,nopc,nob/c,346500,4.5,0.9998,5120,360,not_neg,not_int,not_lpsm,438000,sb,pr,home,1U,5040,EXP,860,EXP,55-64,to_inst,79.10958904,North,direct,0,44
24897,2019,,Female,nopre,type1,p4,l1,nopc,nob/c,266500,4.125,0.2975,5609.88,360,not_neg,not_int,not_lpsm,308000,sb,pr,home,1U,3780,CIB,863,CIB,55-64,to_inst,86.52597403,North,direct,0,42
24898,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,376500,4.875,0.7395,1150,360,not_neg,not_int,not_lpsm,478000,sb,pr,home,1U,5580,CIB,580,EXP,55-64,to_inst,78.76569038,central,direct,0,44
24899,2019,cf,Sex Not Available,nopre,type3,p3,l1,nopc,nob/c,436500,3.49,-0.2776,2316.5,360,not_neg,not_int,not_lpsm,688000,sb,pr,home,1U,6720,CIB,788,EXP,55-64,to_inst,63.44476744,south,direct,0,30
24900,2019,cf,Male,nopre,type2,p3,l2,nopc,b/c,136500,,,,300,neg_amm,not_int,not_lpsm,168000,sb,pr,home,1U,4020,EXP,723,CIB,55-64,to_inst,81.25,North,direct,1,44
24901,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,466500,4.375,0.1871,1150,360,not_neg,not_int,not_lpsm,708000,sb,pr,home,1U,9540,EXP,501,EXP,35-44,to_inst,65.88983051,south,direct,0,36
24902,2019,cf,Joint,nopre,type2,p3,l1,nopc,b/c,206500,,,,360,not_neg,not_int,not_lpsm,258000,sb,pr,home,1U,3780,CRIF,884,EXP,65-74,to_inst,80.03875969,North,direct,1,51
24903,2019,cf,Joint,nopre,type2,p4,l1,nopc,b/c,436500,3.625,0.6146,0,360,not_neg,not_int,not_lpsm,508000,sb,pr,home,1U,,CRIF,520,EXP,55-64,to_inst,85.92519685,North,direct,0,
24904,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,226500,4.5,0.4657,3953.13,360,not_neg,not_int,not_lpsm,298000,sb,pr,home,1U,7860,CIB,773,CIB,35-44,to_inst,76.00671141,North,direct,0,39
24905,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,76500,,,,360,not_neg,not_int,not_lpsm,138000,sb,pr,home,1U,2220,EXP,685,CIB,45-54,not_inst,55.43478261,North,direct,1,20
24906,2019,cf,Joint,nopre,type2,p1,l1,nopc,b/c,356500,,,,360,neg_amm,not_int,not_lpsm,368000,sb,pr,home,1U,5340,CRIF,846,EXP,25-34,not_inst,96.875,North,direct,1,44
24907,2019,cf,Male,pre,type1,p3,l1,nopc,nob/c,156500,,,,360,neg_amm,not_int,not_lpsm,168000,sb,pr,home,1U,3120,CRIF,534,CIB,65-74,to_inst,93.1547619,North,direct,1,44
24908,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,406500,4.56,0.458,895,360,not_neg,not_int,not_lpsm,598000,sb,pr,home,1U,5340,CIB,629,CIB,45-54,not_inst,67.97658863,North,direct,0,44
24909,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,586500,3.175,-0.3446,650,360,not_neg,not_int,not_lpsm,748000,sb,sr,home,1U,12540,CIB,688,EXP,55-64,to_inst,78.40909091,south,direct,0,31
24910,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,306500,2.99,0.2837,10470,180,not_neg,not_int,not_lpsm,558000,sb,pr,home,1U,16860,EXP,668,EXP,65-74,to_inst,54.92831541,North,direct,0,6
24911,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,136500,3.99,0.4819,4156.25,360,not_neg,not_int,not_lpsm,198000,sb,pr,home,1U,2100,EXP,758,CIB,>74,to_inst,68.93939394,North,direct,0,36
24912,2019,cf,Male,pre,type1,p3,l1,nopc,nob/c,306500,,,,360,not_neg,not_int,not_lpsm,448000,sb,pr,home,1U,2880,EXP,692,CIB,55-64,to_inst,68.41517857,south,direct,1,44
24913,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,316500,3.625,0.0454,6661.88,360,not_neg,not_int,not_lpsm,508000,sb,pr,home,1U,2760,CIB,620,CIB,65-74,not_inst,62.30314961,south,direct,0,44
24914,2019,cf,Male,nopre,type1,p3,l2,nopc,nob/c,336500,4.5,0.0759,0,360,not_neg,not_int,not_lpsm,428000,sb,pr,home,1U,4980,CIB,846,CIB,35-44,not_inst,78.62149533,south,direct,0,35
24915,2019,,Joint,nopre,type1,p3,l1,nopc,nob/c,426500,4.99,1.2706,169.5,360,not_neg,not_int,not_lpsm,568000,sb,pr,home,1U,8940,EXP,533,EXP,45-54,not_inst,75.08802817,North,direct,0,34
24916,2019,cf,Joint,nopre,type3,p1,l1,nopc,nob/c,476500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,6780,EQUI,518,EXP,45-54,to_inst,,south,direct,1,
24917,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,196500,5.25,1.2158,5245.09,360,not_neg,not_int,not_lpsm,258000,sb,pr,home,1U,3840,EXP,812,EXP,25-34,to_inst,76.1627907,south,direct,0,49
24918,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,186500,4.25,1.0186,5376.25,360,not_neg,not_int,not_lpsm,218000,sb,pr,home,1U,3840,CRIF,534,CIB,55-64,to_inst,85.55045872,central,direct,0,46
24919,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,436500,3.625,0.266,6260,360,not_neg,not_int,not_lpsm,468000,sb,pr,home,1U,4920,CIB,647,EXP,35-44,not_inst,93.26923077,south,direct,0,42
24920,2019,cf,Male,nopre,type2,p1,l1,nopc,b/c,246500,4.25,1.4614,0,360,not_neg,not_int,not_lpsm,258000,sb,pr,home,1U,5400,EXP,683,CIB,25-34,not_inst,95.54263566,North,direct,0,39
24921,2019,cf,Male,nopre,type3,p4,l1,nopc,nob/c,216500,2.99,-0.6203,2101.63,360,not_neg,not_int,not_lpsm,228000,sb,pr,home,1U,,CIB,705,CIB,55-64,to_inst,94.95614035,North,direct,0,
24922,2019,,Male,nopre,type1,p1,l1,nopc,nob/c,306500,4.125,0.2848,3752.4,360,not_neg,not_int,not_lpsm,318000,sb,pr,home,1U,5580,EXP,701,CIB,35-44,not_inst,96.3836478,North,direct,0,37
24923,2019,cf,Male,pre,type1,p1,l1,nopc,nob/c,316500,3.75,0.1681,5560.63,360,not_neg,int_only,not_lpsm,338000,sb,pr,home,1U,3720,EXP,591,CIB,45-54,to_inst,93.63905325,North,direct,0,41
24924,2019,cf,Male,pre,type1,p1,l1,nopc,nob/c,506500,4.25,0.147,0,360,not_neg,not_int,not_lpsm,538000,sb,pr,home,1U,7500,CIB,647,CIB,25-34,not_inst,94.14498141,North,direct,0,36
24925,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,266500,4.99,1.3774,2337.4,360,not_neg,not_int,not_lpsm,408000,sb,pr,home,1U,3540,EXP,889,CIB,45-54,not_inst,65.31862745,south,direct,0,40
24926,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,406500,4,0.34,4070,360,not_neg,not_int,not_lpsm,1018000,sb,ir,home,1U,9180,EXP,651,CIB,55-64,not_inst,39.93123772,south,direct,0,38
24927,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,656500,3.375,-0.1555,13016.46,360,not_neg,not_int,not_lpsm,1108000,sb,pr,home,1U,9660,EXP,716,EXP,45-54,not_inst,59.25090253,North,direct,0,42
24928,2019,ncf,Male,pre,type1,p4,l1,nopc,nob/c,256500,,,,180,not_neg,not_int,not_lpsm,418000,sb,pr,home,1U,3780,EXP,780,EXP,65-74,to_inst,61.36363636,central,direct,1,45
24929,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,396500,,,,360,not_neg,not_int,not_lpsm,418000,sb,pr,home,1U,7560,CRIF,799,CIB,35-44,not_inst,94.85645933,North,direct,1,42
