,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,LTV,Status,dtir1,loan_to_income,loan_to_collateral,interest_burden,total_cost_proxy,risk_score
0,cf,Sex Not Available,nopre,type1,p1,l1,nob/c,116500,3.99,0.327,2691.13,360.0,not_neg,not_int,not_lpsm,118000.0,sb,pr,home,1U,1740.0,EXP,758,98.72881356,1,45.0,66.916,0.987,464835.0,467526.13,-16.799999999999997
1,cf,Male,nopre,type2,p1,l1,b/c,206500,3.99,0.95605,2691.13,360.0,not_neg,not_int,lpsm,418000.0,sb,pr,home,1U,4980.0,EQUI,552,75.29761905,1,40.0,41.458,0.494,823935.0,826626.13,104.8
2,cf,Male,pre,type1,p1,l1,nob/c,406500,4.56,0.2,595.0,360.0,neg_amm,not_int,not_lpsm,508000.0,sb,pr,home,1U,9480.0,EXP,834,80.01968504,0,46.0,42.875,0.8,1853639.9999999998,1854234.9999999998,-61.999999999999986
3,cf,Male,nopre,type1,p4,l1,nob/c,456500,4.25,0.681,2691.13,360.0,not_neg,not_int,not_lpsm,658000.0,sb,pr,home,1U,11880.0,EXP,587,69.3768997,0,42.0,38.423,0.694,1940125.0,1942816.13,84.6
4,cf,Joint,pre,type1,p1,l1,nob/c,696500,4.0,0.3042,0.0,360.0,not_neg,not_int,not_lpsm,758000.0,sb,pr,home,1U,10440.0,CRIF,602,91.88654354,0,39.0,66.708,0.919,2786000.0,2786000.0,74.4
5,cf,Joint,pre,type1,p1,l1,nob/c,706500,3.99,0.1523,370.0,360.0,not_neg,not_int,not_lpsm,1008000.0,sb,pr,home,1U,10080.0,EXP,864,70.08928571,0,40.0,70.082,0.701,2818935.0,2819305.0,-82.39999999999999
6,cf,Joint,pre,type1,p3,l1,nob/c,346500,4.5,0.9998,5120.0,360.0,not_neg,not_int,not_lpsm,438000.0,sb,pr,home,1U,5040.0,EXP,860,79.10958904,0,44.0,68.736,0.791,1559250.0,1564370.0,-78.4
7,cf,Female,nopre,type1,p4,l1,nob/c,266500,4.125,0.2975,5609.88,360.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,3780.0,CIB,863,86.52597403,0,42.0,70.484,0.865,1099312.5,1104922.38,-81.0
8,cf,Joint,nopre,type1,p3,l1,nob/c,376500,4.875,0.7395,1150.0,360.0,not_neg,not_int,not_lpsm,478000.0,sb,pr,home,1U,5580.0,CIB,580,78.76569038,0,44.0,67.461,0.788,1835437.5,1836587.5,89.6
9,cf,Sex Not Available,nopre,type3,p3,l1,nob/c,436500,3.49,-0.2776,2316.5,360.0,not_neg,not_int,not_lpsm,688000.0,sb,pr,home,1U,6720.0,CIB,788,63.44476744,0,30.0,64.946,0.634,1523385.0,1525701.5,-40.8
10,cf,Male,nopre,type2,p3,l2,b/c,136500,3.99,0.95605,2691.13,300.0,neg_amm,not_int,not_lpsm,168000.0,sb,pr,home,1U,4020.0,EXP,723,81.25,1,44.0,33.947,0.812,544635.0,547326.13,3.8000000000000025
11,cf,Sex Not Available,nopre,type1,p3,l1,nob/c,466500,4.375,0.1871,1150.0,360.0,not_neg,not_int,not_lpsm,708000.0,sb,pr,home,1U,9540.0,EXP,501,65.88983051,0,36.0,48.894,0.659,2040937.5,2042087.5,133.79999999999998
12,cf,Joint,nopre,type2,p3,l1,b/c,206500,3.99,0.95605,2691.13,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,3780.0,CRIF,884,80.03875969,1,51.0,54.615,0.8,823935.0,826626.13,-89.99999999999999
13,cf,Joint,nopre,type2,p4,l1,b/c,436500,3.625,0.6146,0.0,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,5640.0,CRIF,520,85.92519685,0,40.0,77.38,0.859,1582312.5,1582312.5,124.0
14,cf,Female,nopre,type1,p4,l1,nob/c,226500,4.5,0.4657,3953.13,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,7860.0,CIB,773,76.00671141,0,39.0,28.813,0.76,1019250.0,1023203.13,-28.199999999999996
15,cf,Male,nopre,type1,p4,l1,nob/c,76500,3.99,0.327,2691.13,360.0,not_neg,not_int,not_lpsm,138000.0,sb,pr,home,1U,2220.0,EXP,685,55.43478261,1,20.0,34.444,0.554,305235.0,307926.13,17.0
